date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:08:45	107199/107199	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2017%20Jul%202018%2014:36:00%20GMT	http://www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-regular-400.svg	C:/Users/hp/Downloads/website/Website%201/www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-regular-400.svg	(from http://www.themestarz.net/html/selfer/assets/font-awesome/css/fontawesome-all.min.css)
23:08:45	31156/31156	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2017%20Jul%202018%2014:35:58%20GMT	http://www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-regular-400.eot?	C:/Users/hp/Downloads/website/Website%201/www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-regular-400d41d.eot	(from http://www.themestarz.net/html/selfer/assets/font-awesome/css/fontawesome-all.min.css)
23:08:46	98384/98384	---M--	200	added ('OK')	font/ttf	date:Tue,%2017%20Jul%202018%2014:35:53%20GMT	http://www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-brands-400.ttf	C:/Users/hp/Downloads/website/Website%201/www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-brands-400.ttf	(from http://www.themestarz.net/html/selfer/assets/font-awesome/css/fontawesome-all.min.css)
23:08:48	30928/30928	---M--	200	added ('OK')	font/ttf	date:Tue,%2017%20Jul%202018%2014:36:02%20GMT	http://www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-regular-400.ttf	C:/Users/hp/Downloads/website/Website%201/www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-regular-400.ttf	(from http://www.themestarz.net/html/selfer/assets/font-awesome/css/fontawesome-all.min.css)
23:08:53	38784/38784	---M--	200	added ('OK')	font/woff2	date:Tue,%2017%20Jul%202018%2014:36:19%20GMT	http://www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-solid-900.woff2	C:/Users/hp/Downloads/website/Website%201/www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-solid-900.woff2	(from http://www.themestarz.net/html/selfer/assets/font-awesome/css/fontawesome-all.min.css)
23:08:56	48704/48704	---M--	200	added ('OK')	font/woff	date:Tue,%2017%20Jul%202018%2014:36:18%20GMT	http://www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-solid-900.woff	C:/Users/hp/Downloads/website/Website%201/www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-solid-900.woff	(from http://www.themestarz.net/html/selfer/assets/font-awesome/css/fontawesome-all.min.css)
23:09:00	378215/378215	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2017%20Jul%202018%2014:36:14%20GMT	http://www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-solid-900.svg	C:/Users/hp/Downloads/website/Website%201/www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-solid-900.svg	(from http://www.themestarz.net/html/selfer/assets/font-awesome/css/fontawesome-all.min.css)
23:09:02	746/746	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Dec%202022%2016:48:32%20GMT	http://www.themestarz.net/html/selfer/assets/css/owl.video.play.png	C:/Users/hp/Downloads/website/Website%201/www.themestarz.net/html/selfer/assets/css/owl.video.play.png	(from http://www.themestarz.net/html/selfer/assets/css/owl.carousel.min.css)
23:09:02	620/620	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2017%20Jul%202018%2014:37:28%20GMT	http://www.themestarz.net/html/selfer/assets/img/loading.svg	C:/Users/hp/Downloads/website/Website%201/www.themestarz.net/html/selfer/assets/img/loading.svg	(from http://www.themestarz.net/html/selfer/assets/css/style.css)
23:09:06	102152/102152	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2017%20Jul%202018%2014:36:06%20GMT	http://www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-solid-900.eot	C:/Users/hp/Downloads/website/Website%201/www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-solid-900.eot	(from http://www.themestarz.net/html/selfer/assets/font-awesome/css/fontawesome-all.min.css)
23:09:07	102152/102152	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2017%20Jul%202018%2014:36:06%20GMT	http://www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-solid-900.eot?	C:/Users/hp/Downloads/website/Website%201/www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-solid-900d41d.eot	(from http://www.themestarz.net/html/selfer/assets/font-awesome/css/fontawesome-all.min.css)
23:09:09	101932/101932	---M--	200	added ('OK')	font/ttf	date:Tue,%2017%20Jul%202018%2014:36:16%20GMT	http://www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-solid-900.ttf	C:/Users/hp/Downloads/website/Website%201/www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-solid-900.ttf	(from http://www.themestarz.net/html/selfer/assets/font-awesome/css/fontawesome-all.min.css)
